Crash_ID,Time_ID,Speed_ID,State_ID,Remoteness_ID,Road_type_ID,Crash_type_ID,Vehicle_ID,Holiday_ID,Month,Year,Dayweek,LGA_name,Number Fatalities
20242004,23,4,3,0,4,2,1,2,11,2024,Saturday,Unknown,1
20241107,23,1,1,2,1,1,1,2,11,2024,Saturday,Cabonne,1
20243022,0,6,4,3,6,1,1,2,11,2024,Sunday,Gold Coast,1
20248002,1,2,7,3,1,1,1,2,11,2024,Sunday,Unincorporated ACT,1
20242088,2,2,3,3,5,1,1,2,11,2024,Sunday,Frankston,1
20241173,3,8,1,2,3,1,3,2,11,2024,Sunday,Moree Plains,2
20241004,6,3,1,3,2,1,1,2,11,2024,Sunday,Parramatta,1
20246004,7,8,2,2,3,2,7,2,11,2024,Sunday,Meander Valley,1
20241201,8,3,1,3,2,2,1,2,11,2024,Sunday,Queanbeyan-Palerang Regional,1
20242124,9,4,3,0,4,1,1,2,11,2024,Sunday,Unknown,1
20241029,10,2,1,2,3,1,1,2,11,2024,Sunday,Snowy Monaro Regional,1
20243005,11,6,4,1,3,2,1,2,11,2024,Sunday,Bundaberg,1
20241261,11,5,1,3,3,2,1,2,11,2024,Sunday,Wollongong,1
20244024,11,2,5,1,2,1,1,2,11,2024,Sunday,Barossa,1
20245004,12,8,6,0,4,1,5,2,11,2024,Sunday,Unknown,1
20245134,12,8,6,0,4,1,1,2,11,2024,Sunday,Unknown,1
20241215,14,1,1,2,3,2,1,2,11,2024,Sunday,Federation,1
20243186,17,2,4,1,2,1,1,2,11,2024,Sunday,Toowoomba,1
20248006,17,4,7,0,4,1,1,2,11,2024,Sunday,Unknown,1
20243208,21,9,4,3,5,1,1,2,11,2024,Sunday,Brisbane,1
20241134,0,2,1,3,1,2,1,2,11,2024,Thursday,Blacktown,1
20243040,2,6,4,1,3,2,7,2,11,2024,Thursday,Southern Downs,2
20241263,4,3,1,1,2,1,1,2,11,2024,Thursday,Cowra,1
20241302,4,8,1,1,3,1,1,2,11,2024,Thursday,Goulburn Mulwaree,1
20241147,5,3,1,3,6,1,1,2,11,2024,Thursday,The Hills,1
20243096,9,3,4,1,2,1,1,2,11,2024,Thursday,Gympie,1
20243248,9,7,4,3,2,2,1,2,11,2024,Thursday,Moreton Bay,1
20241150,12,3,1,3,1,2,8,2,11,2024,Thursday,Willoughby,1
20241247,13,1,1,1,3,2,3,2,11,2024,Thursday,Shoalhaven,1
20242051,16,4,3,0,4,2,1,2,11,2024,Thursday,Unknown,1
20242174,16,4,3,0,4,2,1,2,11,2024,Thursday,Unknown,1
20241234,17,1,1,1,1,2,1,2,11,2024,Thursday,Queanbeyan-Palerang Regional,1
20242110,17,2,3,1,3,2,1,2,11,2024,Thursday,Greater Bendigo,1
20242052,18,7,3,1,1,2,5,2,11,2024,Thursday,Nillumbik,1
20243247,5,1,4,2,5,1,1,2,11,2024,Tuesday,Western Downs,1
20243144,6,1,4,1,3,2,3,2,11,2024,Tuesday,Rockhampton,1
20242013,8,4,3,0,4,1,1,2,11,2024,Tuesday,Unknown,1
20242008,8,4,3,0,4,1,1,2,11,2024,Tuesday,Unknown,1
20241235,10,2,1,1,1,2,3,2,11,2024,Tuesday,Wollongong,1
20243087,11,1,4,1,6,1,1,2,11,2024,Tuesday,South Burnett,2
20244061,11,8,5,5,3,2,1,2,11,2024,Tuesday,Tatiara,1
20241009,11,2,1,1,1,1,1,2,11,2024,Tuesday,Tweed,1
20241072,12,6,1,2,5,2,1,2,11,2024,Tuesday,Mid-Coast,1
20243129,12,1,4,3,3,2,3,2,11,2024,Tuesday,Ipswich,1
20242219,12,1,3,1,3,2,5,2,11,2024,Tuesday,Ararat,1
20241219,12,2,1,1,1,2,1,2,11,2024,Tuesday,Hawkesbury,1
20244010,12,1,5,1,1,2,1,2,11,2024,Tuesday,Light,1
20244040,14,3,5,3,6,1,1,2,11,2024,Tuesday,Salisbury,1
20243171,16,1,4,2,3,1,1,2,11,2024,Tuesday,Cairns,1
20242075,16,2,3,1,1,1,1,2,11,2024,Tuesday,Colac Otway,1
20243079,17,1,4,4,5,1,1,2,11,2024,Tuesday,McKinlay,1
20245103,17,2,6,0,4,1,5,2,11,2024,Tuesday,Unknown,1
20242068,18,4,3,0,4,2,1,2,11,2024,Tuesday,Unknown,1
20241045,20,3,1,1,2,2,1,2,11,2024,Tuesday,Singleton,1
20243017,23,1,4,2,3,2,3,2,11,2024,Tuesday,Gladstone,2
20242128,23,4,3,0,4,1,1,2,11,2024,Tuesday,Unknown,1
20247024,1,4,8,0,4,1,1,2,11,2024,Wednesday,Unknown,2
20241160,17,3,1,1,5,2,5,2,11,2024,Wednesday,Wagga Wagga,1
20241081,18,1,1,1,3,2,3,2,11,2024,Wednesday,Lithgow,1
20242103,18,4,3,0,4,2,1,2,11,2024,Wednesday,Unknown,1
20241135,21,1,1,2,3,2,1,2,11,2024,Wednesday,Moree Plains,1
20241209,22,8,1,3,3,2,3,2,11,2024,Wednesday,Campbelltown,1
20245051,23,1,6,0,4,1,1,2,11,2024,Wednesday,Unknown,1
20242140,6,1,3,1,3,1,5,2,10,2024,Friday,Moyne,2
20242142,7,1,3,1,5,1,1,2,10,2024,Friday,Macedon Ranges,1
20243107,10,2,4,2,5,2,1,2,10,2024,Friday,Cairns,1
20243020,11,6,4,3,2,2,1,2,10,2024,Friday,Sunshine Coast,1
20241151,11,1,1,2,2,1,1,2,10,2024,Friday,Warrumbungle,1
20243158,15,1,4,2,3,2,3,2,10,2024,Friday,Whitsunday,1
20241286,15,2,1,2,1,2,1,2,10,2024,Friday,Upper Hunter,1
20243102,16,2,4,3,5,2,1,2,10,2024,Friday,Noosa,1
20241303,16,1,1,3,1,1,1,2,10,2024,Friday,Port Stephens,1
20246029,16,3,2,2,3,1,1,2,10,2024,Friday,West Tamar,1
20248005,17,2,7,3,1,1,1,2,10,2024,Friday,Unincorporated ACT,1
20243035,19,6,4,3,2,1,1,2,10,2024,Friday,Moreton Bay,1
20244018,19,8,5,3,6,1,1,2,10,2024,Friday,Gawler,1
20241060,20,2,1,1,1,1,1,2,10,2024,Friday,Mid-Coast,2
20242022,22,6,3,1,2,2,5,2,10,2024,Friday,Alpine,1
20241037,22,7,1,3,1,1,1,2,10,2024,Friday,Central Coast,1
20241257,23,3,1,1,2,1,1,2,10,2024,Friday,Cabonne,1
20241128,0,1,1,3,3,1,1,2,10,2024,Monday,Blacktown,1
20243089,2,6,4,3,6,1,1,2,10,2024,Monday,Brisbane,1
20242181,6,1,3,1,2,1,1,2,10,2024,Monday,Baw Baw,1
20243082,8,1,4,5,3,2,3,2,10,2024,Monday,Isaac,1
20245080,10,8,6,0,4,1,1,2,10,2024,Monday,Unknown,1
20243150,14,1,4,3,3,2,1,2,10,2024,Monday,Sunshine Coast,1
20245041,14,8,6,0,4,1,1,2,10,2024,Monday,Unknown,1
20242152,14,4,3,0,4,2,1,2,10,2024,Monday,Unknown,1
20247010,16,4,8,0,4,1,1,2,10,2024,Monday,Unknown,1
