fatality_id,Crash_ID,Road_User,Gender,Age,Age_Group
28800,20031104,Pedestrian,Male,8,0_to_16
28801,20031221,Pedestrian,Male,50,40_to_64
28802,20033143,Driver,Male,24,17_to_25
28803,20033221,Driver,Male,19,17_to_25
28804,20032027,Driver,Male,54,40_to_64
28805,20035144,Pedestrian,Male,66,65_to_74
28806,20035076,Passenger,Female,19,17_to_25
28807,20035076,Driver,Male,31,26_to_39
28808,20033112,Driver,Male,27,26_to_39
28809,20035045,Driver,Male,20,17_to_25
28810,20031097,Passenger,Male,34,26_to_39
28811,20032060,Driver,Male,24,17_to_25
28812,20032040,Driver,Male,19,17_to_25
28813,20031339,Motorcycle rider,Female,23,17_to_25
28814,20031348,Motorcycle rider,Male,24,17_to_25
28815,20033166,Driver,Female,20,17_to_25
28816,20033166,Passenger,Male,21,17_to_25
28817,20034026,Passenger,Male,24,17_to_25
28818,20031289,Pedestrian,Female,23,17_to_25
28819,20033162,Passenger,Female,38,26_to_39
28820,20033162,Driver,Female,64,40_to_64
28821,20031309,Pedestrian,Male,74,65_to_74
28822,20032213,Motorcycle rider,Male,34,26_to_39
28823,20034101,Passenger,Male,17,17_to_25
28824,20032096,Driver,Male,83,75_or_older
28825,20034008,Pedestrian,Female,26,26_to_39
28826,20033056,Motorcycle rider,Male,29,26_to_39
28827,20032177,Passenger,Male,18,17_to_25
28828,20033217,Passenger,Male,21,17_to_25
28829,20033073,Passenger,Male,60,40_to_64
28830,20033179,Driver,Female,50,40_to_64
28831,20031264,Driver,Female,84,75_or_older
28832,20035084,Driver,Female,39,26_to_39
28833,20035016,Driver,Male,74,65_to_74
28834,20033219,Driver,Male,44,40_to_64
28835,20035094,Pedestrian,Female,83,75_or_older
28836,20033080,Pedestrian,Male,32,26_to_39
28837,20037043,Passenger,Male,39,26_to_39
28838,20037026,Passenger,Female,21,17_to_25
28839,20035137,Pedestrian,Female,3,0_to_16
28840,20035152,Passenger,Female,55,40_to_64
28841,20032154,Driver,Female,49,40_to_64
