Location_ID,LGA_Name,Population_2021,Dwelling_Count_2021
351,Hawkesbury,67605,25523
352,Sorell,16963,8134
353,Towong,6186,3125
354,Grant,8862,3745
355,Hepburn,16485,9511
356,Central Highlands (Qld),28298,14180
357,Charters Towers,11920,5974
358,Blayney,7511,3246
359,Hilltops,19223,9220
360,Lockyer Valley,41750,16162
361,,,
362,Circular Head,8325,4064
363,Swan Hill,21381,9554
364,Murrumbidgee,3564,1647
365,,,
366,,,
367,Upper Lachlan,8494,
368,Orange,43750,18706
369,Launceston,71788,31369
370,Cowra,12759,6267
371,Walkerville,8086,3663
372,Bayside,,
373,Sutherland,230994,
374,Whitehorse,171077,71712
375,,,
376,Wentworth,7490,3457
377,Tasman,2643,2644
378,Latrobe (Tas.),12697,5816
379,Port Augusta,14448,7015
380,Benalla,14436,7211
381,Liverpool Plains,7608,3694
382,Mornington Peninsula,170440,93602
383,Banana,14657,7247
384,,,
385,Mount Barker,39632,16054
386,Inner West,183839,85462
387,Loddon,7703,4323
388,Eurobodalla,40464,24600
389,Sutherland,230994,
390,Roper Gulf,7435,2923
391,Barunga West,2675,1928
392,Tamworth Regional,,27725
393,West Coast,4366,3123
394,Tatiara,7070,3194
395,Snowy Monaro Regional,,12251
396,Etheridge,724,750
397,Bland,5544,3107
398,Oberon,5567,2828
399,Maranoa,12957,6510
400,East Gippsland,48477,26078
401,Corangamite,16030,7897
402,Yorke Peninsula,11830,10310
403,Derwent Valley,11106,4749
404,Hornsby,152263,55952
405,Port Pirie,17747,8589
406,Muswellbrook,16469,7333
407,Circular Head,8325,4064
408,Devonport,26896,12071
409,Flinders (Qld),1521,992
410,Burwood,40440,16201
411,Alice Springs,28483,11681
412,Nambucca Valley,20382,10016
413,Somerset,25388,11020
414,Lachlan,6153,3014
415,Gwydir,4912,2443
416,Port Adelaide Enfield,134131,56716
417,Macedon Ranges,51599,20630
418,Banyule,127370,53031
419,Lithgow,20855,10236
420,Federation,12822,6546
421,Wagga Wagga,67891,28244
422,Coonamble,3833,1825
423,Kempsey,30828,14292
424,Carrathool,2873,1312
425,Barcoo,312,267
426,Mareeba,23171,10199
427,Hobsons Bay,92267,39336
428,Temora,6013,2926
429,Karoonda East Murray,1024,610
430,Livingstone,39877,17841
431,Unincorporated Vic,946,1054
432,Gannawarra,10615,5326
433,Blue Mountains,78372,35239
434,Ceduna,3651,1909
435,Parramatta,258527,106654
436,Whitsunday,37642,18043
437,Shellharbour,76492,29884
438,Darwin,84854,34806
439,Baw Baw,57618,24522
440,Central Desert,4118,1272
441,Sutherland,230994,
442,Kempsey,30828,14292
443,Carpentaria,2158,1639
444,Unknown,,
445,Wudinna,1163,616
446,Murweh,4009,2269
447,Eurobodalla,40464,24600
448,Renmark Paringa,10007,4669
449,Loxton Waikerie,11921,5787
450,Central Coast (Tas.),23258,10434
451,Berrigan,8615,4265
452,Norwood Payneham and St Peters,37823,18126
453,Sorell,16963,8134
454,Clarence Valley,54212,26143
455,Yass Valley,17240,6823
456,MacDonnell,6574,2243
457,Leeton,11480,4705
458,Balranald,2208,1091
459,Scenic Rim,43592,18468
460,Port Macquarie-Hastings,86638,40066
461,Kingborough,40769,17301
462,Moreland,,78310
463,Copper Coast,15338,9242
464,Lockhart,3328,1417
465,Naracoorte Lucindale,8892,4076
466,Southern Mallee,2026,1077
467,Glen Innes Severn,8925,4610
468,Hornsby,152263,55952
469,Kentish,6775,2915
470,Goyder,4138,2371
